Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Successful 50/50s,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Shots,Shooting accuracy %,Big chances missed,Saves,Penalties saved,mod name,age,nationality,value_eur,overall,Season,Arial Saves,Duels %,Aerial battles %
Defender,35,6.0,49.0,48.0,73,0.0,7.0,44.0,60.0,28.0,0.0,146.0,17.0,0.0,0.0,4,1480,42.29,3.0,136.0,18,1.0,40.0,2,0,32,1.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,Ryan Bertrand,27,England,12000000,80,2017-18,0.0,51.08695652173913,45.833333333333336
Defender,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Krystian Bielik,19,Poland,600000,62,2017-18,0.0,0.0,0.0
Midfielder,16,0.0,0.0,25.0,64,0.0,1.0,18.0,13.0,7.0,0.0,73.0,4.0,0.0,0.0,0,371,23.19,1.0,12.0,17,1.0,16.0,3,0,14,1.0,0,0.0,0.0,0.0,0.0,0.0,7.0,29,0.0,0.0,0.0,Philip Billing,21,Denmark,1500000,67,2017-18,0.0,55.04587155963303,67.56756756756756
Goalkeeper,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Mark Birighitti,26,Australia,850000,68,2017-18,0.0,0.0,0.0
Defender,7,3.0,0.0,6.0,67,0.0,1.0,7.0,12.0,8.0,0.0,23.0,1.0,0.0,0.0,0,224,32.0,1.0,26.0,35,0.0,11.0,0,0,4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Daley Blind,27,Netherlands,13500000,80,2017-18,0.0,50.0,57.142857142857146
Midfielder,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Hiram Boateng,21,England,575000,62,2017-18,0.0,0.0,0.0
Forward,15,0.0,0.0,5.0,0,0.0,5.0,2.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0,208,13.87,0.0,0.0,0,0.0,0.0,2,0,7,2.0,2,0.0,2.0,0.0,0.0,0.13,20.0,35,2.0,0.0,0.0,Wilfried Bony,28,Ivory Coast,13000000,79,2017-18,0.0,0.0,0.0
Midfielder,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Regan Booty,19,England,80000,53,2017-18,0.0,0.0,0.0
Defender,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Cameron Borthwick-Jackson,20,England,2800000,70,2017-18,0.0,0.0,0.0
Goalkeeper,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Artur Boruc,37,Poland,600000,77,2017-18,0.0,0.0,0.0
Midfielder,26,0.0,0.0,37.0,65,0.0,14.0,6.0,6.0,2.0,0.0,81.0,61.0,0.0,0.0,2,532,20.46,2.0,40.0,20,6.0,13.0,1,0,27,2.0,2,0.0,1.0,1.0,0.0,0.08,30.0,20,1.0,0.0,0.0,Sofiane Boufal,23,Morocco,17000000,79,2017-18,0.0,49.07063197026022,31.57894736842105
Midfielder,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,George Boyd,31,Scotland,2700000,72,2017-18,0.0,0.0,0.0
Defender,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Brad Smith,23,Australia,700000,65,2017-18,0.0,0.0,0.0
Midfielder,15,0.0,0.0,32.0,66,0.0,11.0,7.0,25.0,11.0,0.0,74.0,16.0,0.0,0.0,2,454,30.27,3.0,123.0,32,4.0,31.0,3,0,20,3.0,1,0.0,1.0,0.0,1.0,0.07,24.0,25,0.0,0.0,0.0,Robbie Brady,25,Republic of Ireland,9500000,76,2017-18,0.0,45.63758389261745,42.857142857142854
Defender,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Cohen Bramall,21,England,500000,61,2017-18,0.0,0.0,0.0
Midfielder,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Cameron Brannagan,21,England,1700000,69,2017-18,0.0,0.0,0.0
