Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,mod name,age,nationality,value_eur,overall,Season
Goalkeeper,7,0.0,20.0,,,,,,,,,,,,,,,0.0,0.0,0,211,30.14,,,,,66.0,1,0,0,,0,,,,,,,,,,,,20.0,1.0,8.0,1.0,1.0,5.0,32.0,67.0,Marcus Bettinelli,26,England,3600000,73,2018-19
Midfielder,27,,,74.0,59%,,17.0,53.0,40.0,23.0,,174.0,210.0,136.0,20.0,88.0,30.0,,0.0,0,"1,074",39.78,1.0,56.0,16%,0.0,77.0,7,0,37,2.0,2,1.0,0.0,1.0,3.0,0.07,0.0,0.0,42.0,9.0,21%,0.0,,,,,,,,,Philip Billing,22,Denmark,1700000,69,2018-19
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Billy Arce,19,Ecuador,975000,66,2018-19
Midfielder,28,,,62.0,48%,,9.0,33.0,25.0,12.0,,116.0,161.0,143.0,47.0,27.0,31.0,,1.0,0,715,25.54,1.0,8.0,25%,3.0,24.0,5,0,40,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,10%,2.0,,,,,,,,,Yves Bissouma,21,Mali,5000000,72,2018-19
Defender,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Daley Blind,28,Netherlands,10000000,79,2018-19
Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Omar Bogle,24,England,850000,66,2018-19
Forward,0,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,0,0.0,0.0,0.0,,,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Joshua Bohui,19,England,700000,63,2018-19
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Luke Bolton,18,England,575000,61,2018-19
Defender,36,7.0,41.0,85.0,61%,1.0,4.0,72.0,172.0,108.0,0.0,213.0,248.0,131.0,13.0,136.0,64.0,0.0,0.0,0,"1,715",47.64,3.0,0.0,0%,2.0,85.0,2,1,29,3.0,4,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,Willy Boly,27,France,8000000,76,2018-19
Goalkeeper,12,4.0,18.0,,,,,,,,,,,,,,,0.0,0.0,0,286,23.83,,,,,69.0,2,0,0,,0,,,,,,,,,,,,41.0,0.0,4.0,3.0,2.0,4.0,62.0,112.0,Artur Boruc,38,Poland,450000,75,2018-19
Midfielder,0,,,0.0,0%,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0.0,,,,,,,,,Sofiane Boufal,24,Morocco,11500000,77,2018-19
